Year,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1752,,,Cracow,Poland,50.63N,19.01E
1752,,,Cracow,Poland,50.63N,19.01E
1752,,,Cracow,Poland,50.63N,19.01E
1752,8.187999999999999,1.778,Cracow,Poland,50.63N,19.01E
1752,4.417,1.4280000000000002,Cracow,Poland,50.63N,19.01E
1752,-0.0519999999999999,1.655,Cracow,Poland,50.63N,19.01E
1753,-4.862,7.309,Cracow,Poland,50.63N,19.01E
1753,-3.024,3.255,Cracow,Poland,50.63N,19.01E
1753,3.947,3.123,Cracow,Poland,50.63N,19.01E
1753,8.692,6.367999999999999,Cracow,Poland,50.63N,19.01E
1753,13.488,1.939,Cracow,Poland,50.63N,19.01E
1753,17.415,2.827,Cracow,Poland,50.63N,19.01E
1753,18.651,2.018,Cracow,Poland,50.63N,19.01E
1753,17.108999999999998,6.989,Cracow,Poland,50.63N,19.01E
1753,14.114,1.54,Cracow,Poland,50.63N,19.01E
1753,9.011,2.055,Cracow,Poland,50.63N,19.01E
1753,1.973,3.0810000000000004,Cracow,Poland,50.63N,19.01E
1753,-4.556,4.123,Cracow,Poland,50.63N,19.01E
1754,-4.433,2.439,Cracow,Poland,50.63N,19.01E
1754,-4.498,4.59,Cracow,Poland,50.63N,19.01E
1754,-0.1120000000000001,3.627,Cracow,Poland,50.63N,19.01E
1754,8.482999999999999,7.28,Cracow,Poland,50.63N,19.01E
1754,14.181,3.449,Cracow,Poland,50.63N,19.01E
1754,17.308,1.3530000000000002,Cracow,Poland,50.63N,19.01E
1754,17.392999999999994,2.8110000000000004,Cracow,Poland,50.63N,19.01E
1754,17.16,4.709,Cracow,Poland,50.63N,19.01E
1754,13.047,3.4730000000000003,Cracow,Poland,50.63N,19.01E
1754,9.267,1.964,Cracow,Poland,50.63N,19.01E
1754,3.452,1.706,Cracow,Poland,50.63N,19.01E
1754,-0.916,2.604,Cracow,Poland,50.63N,19.01E
1755,-8.152999999999999,5.381,Cracow,Poland,50.63N,19.01E
1755,-7.126,4.618,Cracow,Poland,50.63N,19.01E
1755,1.444,4.587,Cracow,Poland,50.63N,19.01E
1755,10.321000000000002,4.317,Cracow,Poland,50.63N,19.01E
1755,13.963,2.749,Cracow,Poland,50.63N,19.01E
1755,19.149,3.67,Cracow,Poland,50.63N,19.01E
1755,18.888,2.055,Cracow,Poland,50.63N,19.01E
1755,16.653,3.262,Cracow,Poland,50.63N,19.01E
1755,12.905,1.348,Cracow,Poland,50.63N,19.01E
1755,7.9209999999999985,7.388,Cracow,Poland,50.63N,19.01E
1755,2.85,7.547000000000001,Cracow,Poland,50.63N,19.01E
1755,-0.7969999999999999,7.838999999999999,Cracow,Poland,50.63N,19.01E
1756,-0.8239999999999998,5.626,Cracow,Poland,50.63N,19.01E
1756,0.9580000000000002,4.511,Cracow,Poland,50.63N,19.01E
1756,3.205,7.251,Cracow,Poland,50.63N,19.01E
1756,7.875000000000001,2.499,Cracow,Poland,50.63N,19.01E
1756,13.288,5.815,Cracow,Poland,50.63N,19.01E
1756,19.311,3.813,Cracow,Poland,50.63N,19.01E
1756,19.392,2.346,Cracow,Poland,50.63N,19.01E
1756,16.724999999999998,9.381,Cracow,Poland,50.63N,19.01E
1756,14.753,3.572,Cracow,Poland,50.63N,19.01E
1756,8.138,3.55,Cracow,Poland,50.63N,19.01E
1756,0.952,4.538,Cracow,Poland,50.63N,19.01E
1756,-3.335,2.574,Cracow,Poland,50.63N,19.01E
1757,-5.319,3.355,Cracow,Poland,50.63N,19.01E
1757,-0.391,4.9,Cracow,Poland,50.63N,19.01E
1757,2.878,4.308,Cracow,Poland,50.63N,19.01E
1757,9.332,6.537000000000001,Cracow,Poland,50.63N,19.01E
1757,13.497,3.773,Cracow,Poland,50.63N,19.01E
1757,19.465,4.133,Cracow,Poland,50.63N,19.01E
1757,22.204,6.698,Cracow,Poland,50.63N,19.01E
1757,18.437,4.596,Cracow,Poland,50.63N,19.01E
1757,13.055,8.33,Cracow,Poland,50.63N,19.01E
1757,4.246,11.178,Cracow,Poland,50.63N,19.01E
1757,3.05,5.234,Cracow,Poland,50.63N,19.01E
1757,-3.686,10.411,Cracow,Poland,50.63N,19.01E
1758,-7.672999999999999,1.776,Cracow,Poland,50.63N,19.01E
1758,-3.09,3.332,Cracow,Poland,50.63N,19.01E
1758,1.838,4.633,Cracow,Poland,50.63N,19.01E
1758,6.784000000000002,8.177999999999999,Cracow,Poland,50.63N,19.01E
1758,13.823,5.695,Cracow,Poland,50.63N,19.01E
1758,17.485,5.506,Cracow,Poland,50.63N,19.01E
1758,17.226,8.541,Cracow,Poland,50.63N,19.01E
1758,17.269000000000002,6.855,Cracow,Poland,50.63N,19.01E
1758,11.731000000000002,3.168,Cracow,Poland,50.63N,19.01E
1758,5.4,11.829,Cracow,Poland,50.63N,19.01E
1758,2.842,9.188,Cracow,Poland,50.63N,19.01E
1758,-1.52,6.178999999999999,Cracow,Poland,50.63N,19.01E
1759,-0.7250000000000001,6.834,Cracow,Poland,50.63N,19.01E
1759,-0.0229999999999999,8.207,Cracow,Poland,50.63N,19.01E
1759,3.0580000000000003,3.645,Cracow,Poland,50.63N,19.01E
1759,7.359000000000001,6.101,Cracow,Poland,50.63N,19.01E
1759,11.858,3.284,Cracow,Poland,50.63N,19.01E
1759,17.923000000000005,6.232,Cracow,Poland,50.63N,19.01E
1759,19.565,4.76,Cracow,Poland,50.63N,19.01E
1759,18.534,7.1370000000000005,Cracow,Poland,50.63N,19.01E
1759,13.703,6.566,Cracow,Poland,50.63N,19.01E
1759,8.416,4.835,Cracow,Poland,50.63N,19.01E
1759,-0.0259999999999998,6.352,Cracow,Poland,50.63N,19.01E
1759,-5.641,9.508,Cracow,Poland,50.63N,19.01E
1760,-6.143000000000002,4.588,Cracow,Poland,50.63N,19.01E
1760,-3.0660000000000003,3.321,Cracow,Poland,50.63N,19.01E
1760,0.3920000000000001,9.812,Cracow,Poland,50.63N,19.01E
1760,7.792000000000002,6.329,Cracow,Poland,50.63N,19.01E
1760,13.46,4.065,Cracow,Poland,50.63N,19.01E
1760,17.366,2.664,Cracow,Poland,50.63N,19.01E
1760,18.332,4.391,Cracow,Poland,50.63N,19.01E
1760,17.759,8.211,Cracow,Poland,50.63N,19.01E
1760,14.748,5.651,Cracow,Poland,50.63N,19.01E
1760,7.933,5.26,Cracow,Poland,50.63N,19.01E
1760,2.641,3.471,Cracow,Poland,50.63N,19.01E
1760,-0.0689999999999999,3.109,Cracow,Poland,50.63N,19.01E
1761,-4.035,7.005,Cracow,Poland,50.63N,19.01E
1761,-0.6759999999999999,4.033,Cracow,Poland,50.63N,19.01E
1761,4.753,1.7080000000000002,Cracow,Poland,50.63N,19.01E
1761,7.356000000000001,4.271,Cracow,Poland,50.63N,19.01E
1761,15.112,5.059,Cracow,Poland,50.63N,19.01E
1761,19.344,2.374,Cracow,Poland,50.63N,19.01E
1761,19.287,6.511,Cracow,Poland,50.63N,19.01E
1761,19.297,3.718,Cracow,Poland,50.63N,19.01E
1761,15.625,4.363,Cracow,Poland,50.63N,19.01E
1761,6.174999999999999,5.235,Cracow,Poland,50.63N,19.01E
1761,2.301,2.397,Cracow,Poland,50.63N,19.01E
1761,-5.228,1.928,Cracow,Poland,50.63N,19.01E
1762,-1.0300000000000002,2.8480000000000003,Cracow,Poland,50.63N,19.01E
1762,-1.183,8.57,Cracow,Poland,50.63N,19.01E
1762,-0.177,4.807,Cracow,Poland,50.63N,19.01E
1762,9.921,3.948,Cracow,Poland,50.63N,19.01E
1762,13.797,6.568,Cracow,Poland,50.63N,19.01E
1762,18.021,6.827999999999999,Cracow,Poland,50.63N,19.01E
1762,18.857,2.998,Cracow,Poland,50.63N,19.01E
1762,16.221,2.7,Cracow,Poland,50.63N,19.01E
1762,13.052,8.347999999999999,Cracow,Poland,50.63N,19.01E
1762,5.566999999999998,4.24,Cracow,Poland,50.63N,19.01E
1762,2.855,2.277,Cracow,Poland,50.63N,19.01E
1762,-3.91,5.928999999999999,Cracow,Poland,50.63N,19.01E
1763,-6.876,6.343,Cracow,Poland,50.63N,19.01E
1763,-0.1380000000000001,4.674,Cracow,Poland,50.63N,19.01E
1763,0.389,7.301,Cracow,Poland,50.63N,19.01E
1763,6.9620000000000015,2.059,Cracow,Poland,50.63N,19.01E
1763,12.693,3.084,Cracow,Poland,50.63N,19.01E
1763,16.317999999999998,6.045,Cracow,Poland,50.63N,19.01E
